participant_id,start,end,text,speaker,source_type,main_phase,sub_phase
3,0,0,Likes that the mistakes are explained,Speaker 1,Observation Note,Warmup,Summary
3,0,0,Memory:,Speaker 1,Observation Note,Warmup,Summary
3,0,0,Feels like its notes,Speaker 1,Observation Note,Warmup,Summary
3,0,0,"Likes that its structured and that its too much text, not overwhelming",Speaker 1,Observation Note,Warmup,Summary
3,0,0,Looks at task list carefully,Speaker 1,Observation Note,Chat 1,
3,0,0,Did not recognize the second task/didn’t do the task,Speaker 1,Observation Note,Chat 1,
3,0,0,Maybe task list is too subtle?,Speaker 1,Observation Note,Chat 1,
3,0,0,Tends to immerse in the chat instead of following the task list strictly,Speaker 1,Observation Note,Chat 2,
3,0,0,Did not complete all tasks then tries to do them after saying goodbye,Speaker 1,Observation Note,Chat 2,
4,0,0,"Skin color: Finds it strange to select skin color, because she doesn’t care",Speaker 1,Observation Note,Onboarding,
4,0,0,Seemed a bit confused,Speaker 1,Observation Note,Onboarding,
4,0,0,Tries to click the voice button at the voice input,Speaker 1,Observation Note,Onboarding,
4,0,0,Name: SpansihBuddy: Says its very uncreative,Speaker 1,Observation Note,Onboarding,
4,0,0,Warm-Up:,Speaker 1,Observation Note,Onboarding,
4,0,0,Tries help immediately,Speaker 1,Observation Note,Onboarding,
4,0,0,Asks the tutor for approval of what she want to say,Speaker 1,Observation Note,Onboarding,
4,0,0,Cannot find the way to go back to from help,Speaker 1,Observation Note,Onboarding,
4,0,0,Doesn’t understand something  Then goes to tutor,Speaker 1,Observation Note,Onboarding,
4,0,0,Is confused if she has to follow the conversation OR follow the task,Speaker 1,Observation Note,Onboarding,
4,0,0,Sometimes it might be confusing or two different goals,Speaker 1,Observation Note,Onboarding,
4,0,0,Feel like the AI doesn’t get everything correctly  Issues with STT,Speaker 1,Observation Note,Onboarding,
4,0,0,AI spoke too fast  Especially because she is a bigger,Speaker 1,Observation Note,Onboarding,Summary very long loading time
4,0,0,Would prefer to have shorter scenarios,Speaker 1,Observation Note,Onboarding,Summary very long loading time
4,0,0,Was lost what to do,Speaker 1,Observation Note,Onboarding,Summary very long loading time
4,0,0,But really liked the feedback in the response,Speaker 1,Observation Note,Onboarding,Summary very long loading time
4,0,0,Overlooked the other tabs,Speaker 1,Observation Note,Onboarding,Summary very long loading time
4,0,0,Good,Speaker 1,Observation Note,Onboarding,Summary
4,0,0,Felt like the facts are correct,Speaker 1,Observation Note,Onboarding,Summary
4,0,0,Most important: To know what to work on,Speaker 1,Observation Note,Onboarding,Summary
4,0,0,Goes to tutor and asks for a word translation,Speaker 1,Observation Note,Chat 1,
4,0,0,Speech recognition has trouble to recognize the speech sometimes like misunderstands words,Speaker 1,Observation Note,Chat 1,
4,0,0,Later starts recording and then opens the hint to see it and read from it directly,Speaker 1,Observation Note,Chat 1,
4,0,0,Noticed that the messages disappear like chat history is not long enough,Speaker 1,Observation Note,Chat 1,Partner switched to English for the second part of the reply
4,0,0,Misunderstands participant,Speaker 1,Observation Note,Chat 2,
4,0,0,Then tends to take the hint instead of trying on their own again,Speaker 1,Observation Note,Chat 2,
4,0,0,Uses copy paste to get the translation of a partner message,Speaker 1,Observation Note,Chat 2,
4,0,0,Tends to just take the hints and makes no mistakes/very few,Speaker 1,Observation Note,Chat 2,
5,0,0,Likes the partner customization,Speaker 1,Observation Note,Onboarding,
5,0,0,Names the partner like herself,Speaker 1,Observation Note,Onboarding,Partner
5,0,0,Oversaw the name field for a moment,Speaker 1,Observation Note,Onboarding,Partner
5,0,0,Likes design  Calming color,Speaker 1,Observation Note,Warmup,
5,0,0,Also likes the structure,Speaker 1,Observation Note,Warmup,
5,0,0,Starts talking without pressing to record,Speaker 1,Observation Note,Warmup,
5,0,0,Got a correction in the first scenario,Speaker 1,Observation Note,Warmup,
5,0,0,Sometimes confused from the transcripts,Speaker 1,Observation Note,Warmup,
5,0,0,Did not got what she actually said,Speaker 1,Observation Note,Warmup,
5,0,0,Tasks  The ones she didn’t finish she just redo after the partner said adios,Speaker 1,Observation Note,Warmup,
5,0,0,Later the transcripts were correct but in the beginning not,Speaker 1,Observation Note,Warmup,
5,0,0,Transcript are helpful,Speaker 1,Observation Note,Warmup,
5,0,0,Likes that she gives explanations/correction immediately,Speaker 1,Observation Note,Warmup,
5,0,0,"Would be helpful  Emphasize that the current task is not done, before flowing to the next one, like actively nudging the user to do the current task before continuing",Speaker 1,Observation Note,Warmup,
5,0,0,Cool,Speaker 1,Observation Note,Warmup,Summary
5,0,0,Likes the word count and the quote,Speaker 1,Observation Note,Warmup,Summary
5,0,0,Words learned really cool,Speaker 1,Observation Note,Warmup,Summary
5,0,0,Likes the recommendations,Speaker 1,Observation Note,Warmup,Summary
5,0,0,Does not see the tabs with other info,Speaker 1,Observation Note,Warmup,Summary
5,0,0,For the recommendations: Have a see more button to see a detailed description,Speaker 1,Observation Note,Warmup,Summary
5,0,0,Skips the second task (did partner nudged her?),Speaker 1,Observation Note,Chat 1,
5,0,0,Then recognizes and does the second task delayed,Speaker 1,Observation Note,Chat 1,
5,0,0,Later user tried to just finish the tasks instead of referencing the partner responses,Speaker 1,Observation Note,Chat 1,"Partner didn’t gave any corrections  Also user performed much better and didn’t make any mistakes, except a few minor ones"
5,0,0,"Very focused on the conversation, doesn’t use tutor or hints in any conversation",Speaker 1,Observation Note,Chat 2,
5,0,0,Doesn’t follow the task list again,Speaker 1,Observation Note,Chat 2,
5,0,0,Doesn’t know a word and asks the tutor,Speaker 1,Observation Note,Chat 2,
5,0,0,Now starts to use the tutor mode more for words she didn’t know,Speaker 1,Observation Note,Chat 2,
5,0,0,Ask if she can manually check off the tasks,Speaker 1,Observation Note,Chat 2,
6,0,0,Spanish info is missing,Speaker 1,Observation Note,Onboarding,
6,0,0,Only five interests: Mean!,Speaker 1,Observation Note,Onboarding,
6,0,0,41 years,Speaker 1,Observation Note,Onboarding,
6,0,0,Funny,Speaker 1,Observation Note,Onboarding,Partner
6,0,0,Tries to click the play button for audio,Speaker 1,Observation Note,Onboarding,Partner
6,0,0,Asks why its in English,Speaker 1,Observation Note,Warmup,
6,0,0,Which classmate,Speaker 1,Observation Note,Warmup,
6,0,0,Does not click on stop and waits that partner answers,Speaker 1,Observation Note,Warmup,
6,0,0,Class mate talks like a teacher,Speaker 1,Observation Note,Warmup,
6,0,0,Strange that the partner comes from Madrid,Speaker 1,Observation Note,Warmup,
6,0,0,But its very fun,Speaker 1,Observation Note,Warmup,
6,0,0,But says the system could be easily replicated by ChatGPT,Speaker 1,Observation Note,Warmup,
6,0,0,But really likes it,Speaker 1,Observation Note,Warmup,
6,0,0,Gets the correction and is confused,Speaker 1,Observation Note,Warmup,
6,0,0,Correction makes sense,Speaker 1,Observation Note,Warmup,
6,0,0,Is also confused that the message has both parts,Speaker 1,Observation Note,Warmup,
6,0,0,Doesn’t feel real like an AI,Speaker 1,Observation Note,Warmup,
6,0,0,Wants a divider between tutor and partner,Speaker 1,Observation Note,Warmup,
6,0,0,Also task is confusing,Speaker 1,Observation Note,Warmup,
6,0,0,History got lost so summary is not so helpful,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Words learns makes no sense,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Tab section would be nice to have more highlight that it’s a certain tab,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Likes the recommendations,Speaker 1,Observation Note,Warmup,Summary
6,0,0,The memory update: Uses third form instead of you,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Also doesn’t understand why its memory,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Should update,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Needs more just overview and vocabulary,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Interesting that the AI analyzes it,Speaker 1,Observation Note,Warmup,Summary
6,0,0,Feels like the app should be in German or Spanish not English,Speaker 1,Observation Note,Chat 1,
6,0,0,Says this chat will be a bit harder,Speaker 1,Observation Note,Chat 1,
6,0,0,Started talking without pushing the button,Speaker 1,Observation Note,Chat 1,
6,0,0,Gave a correction,Speaker 1,Observation Note,Chat 1,
6,0,0,Conversation diverged from task,Speaker 1,Observation Note,Chat 1,
6,0,0,"Then proceeds to do the task, after the conversation is at a different state already",Speaker 1,Observation Note,Chat 1,
6,0,0,Doesn’t use the tutor,Speaker 1,Observation Note,Chat 1,"Partner speaks fast, he has to read the messages"
6,0,0,Start to use the normal chat to also ask tutor questions  What is banana in Spanish?,Speaker 1,Observation Note,Chat 2,
6,0,0,Now tries to have fun with it,Speaker 1,Observation Note,Chat 2,
6,0,0,Got a personalized correction/explanation,Speaker 1,Observation Note,Chat 2,
6,0,0,Seems to rate the chat 2 worse than chat 1,Speaker 1,Observation Note,Chat 2,
7,0,0,Likes the design,Speaker 1,Observation Note,Onboarding,
7,0,0,"Struggles, basically everything",Speaker 1,Observation Note,Onboarding,
7,0,0,Seems to struggle a bit with English,Speaker 1,Observation Note,Onboarding,
7,0,0,Points out that you can’t go back in onboarding flow,Speaker 1,Observation Note,Onboarding,
7,0,0,Name like her boyfriend,Speaker 1,Observation Note,Onboarding,Partner
7,0,0,Seems to have fun with customization,Speaker 1,Observation Note,Onboarding,Partner
7,0,0,Customization options are sometimes hard to see,Speaker 1,Observation Note,Onboarding,Partner
7,0,0,Maybe change the color for option fields,Speaker 1,Observation Note,Onboarding,Partner
7,0,0,Select a female voice,Speaker 1,Observation Note,Onboarding,Partner
7,0,0,Would like to have a voice sample,Speaker 1,Observation Note,Onboarding,Partner
7,0,0,Thoughts she must click the tasks and it’s a test,Speaker 1,Observation Note,Warmup,
7,0,0,Started talking before pushing the button,Speaker 1,Observation Note,Warmup,
7,0,0,"Tutor mode: Have an obvious back button to go back to normal chat, help button was intuitive",Speaker 1,Observation Note,Warmup,
7,0,0,Would be great to click on the single words and see the translation,Speaker 1,Observation Note,Warmup,
7,0,0,"Prefers to use the tutor mode instead of hint, uses it to look up words",Speaker 1,Observation Note,Warmup,
7,0,0,Keeps to have reconnection errors,Speaker 1,Observation Note,Warmup,
7,0,0,Only took words after refresh,Speaker 1,Observation Note,Warmup,Summary
7,0,0,Starts directly with a hint,Speaker 1,Observation Note,Chat 1,
7,0,0,AI doesn’t recognize that she finished first task,Speaker 1,Observation Note,Chat 1,
7,0,0,Seems to not follow the task but wants to immerse herself in the conversation flow,Speaker 1,Observation Note,Chat 1,
7,0,0,Feels a bit overwhelmed,Speaker 1,Observation Note,Chat 1,
7,0,0,Gives one word answers if she doesn’t know how to continue,Speaker 1,Observation Note,Chat 1,
7,0,0,Doesn’t read the other tabs,Speaker 1,Observation Note,Chat 1,Summary
7,0,0,AI doesn’t recognize that he did the task,Speaker 1,Observation Note,Chat 2,
7,0,0,Does not check the task list,Speaker 1,Observation Note,Chat 2,
7,0,0,Does not follow the task list but the partner dialog flow,Speaker 1,Observation Note,Chat 2,
7,0,0,Clearly struggles with the tasks and conversation,Speaker 1,Observation Note,Chat 2,
8,0,0,Not clear if he should add German again in the other languages selection,Speaker 1,Observation Note,Onboarding,
8,0,0,Finds it funny that you can customize a partner,Speaker 1,Observation Note,Onboarding,Partner
8,0,0,Very nice,Speaker 1,Observation Note,Onboarding,Partner
8,0,0,Picks a Spanish name,Speaker 1,Observation Note,Onboarding,Partner
8,0,0,Male partner,Speaker 1,Observation Note,Onboarding,Partner
8,0,0,Is really fast,Speaker 1,Observation Note,Warmup,
8,0,0,Finds it a bit confusing that he asks a follo up and then says goodbye,Speaker 1,Observation Note,Warmup,
8,0,0,"After a few messages, ai did not check",Speaker 1,Observation Note,Warmup,
8,0,0,"Strong, mentions that its very fast from the pace",Speaker 1,Observation Note,Warmup,
8,0,0,Assumed that I know a lot,Speaker 1,Observation Note,Warmup,
8,0,0,Did not use the tutor mode,Speaker 1,Observation Note,Warmup,
8,0,0,Was very fast and made no transcription mistakes,Speaker 1,Observation Note,Warmup,
8,0,0,Corrected the mistake directly in the chat,Speaker 1,Observation Note,Warmup,
8,0,0,Really nice,Speaker 1,Observation Note,Warmup,Summary
8,0,0,Very clear practical recommendations that are true,Speaker 1,Observation Note,Warmup,Summary
8,0,0,Find the other tabs not directly more by accident,Speaker 1,Observation Note,Warmup,Summary
8,0,0,Explained available tools after asking,Speaker 1,Observation Note,Chat 1,
8,0,0,Then starts using the hints for a few tasks,Speaker 1,Observation Note,Chat 1,
8,0,0,Feels like if he would a complete beginner he couldn’t do the conversation but for him it was really enjoyable,Speaker 1,Observation Note,Chat 1,
8,0,0,Unpredictable is positive for him  Its good because it was not repetitive,Speaker 1,Observation Note,Chat 1,
8,0,0,Usual  Also positive because it was usual conversation like realistic,Speaker 1,Observation Note,Chat 1,
8,0,0,There is confusion if you should rate the conversation or the system as a hole,Speaker 1,Observation Note,Chat 1,
8,0,0,Important: DID NOT FILL OUT THE WEAK POINTS because he made no mistakes,Speaker 1,Observation Note,Chat 1,
8,0,0,Uses also the hints,Speaker 1,Observation Note,Chat 2,
8,0,0,Tends to overlook the tasks and gets involved in the conversation,Speaker 1,Observation Note,Chat 2,
8,0,0,"Then after final message, tries to redo the remaining tasks",Speaker 1,Observation Note,Chat 2,
8,0,0,Made no real mistakes,Speaker 1,Observation Note,Chat 2,
8,0,0,Says that the partner answered him as a real vendor in Spain,Speaker 1,Observation Note,Chat 2,
8,0,0,Off recording:,Speaker 1,Observation Note,Chat 2,
8,0,0,"Says he doesn’t demand personalization, like the partner has information about him",Speaker 1,Observation Note,Chat 2,
8,0,0,Should be as authentic as possible,Speaker 1,Observation Note,Chat 2,
8,0,0,For him he wants to have a simulation: Like ordering a coffee,Speaker 1,Observation Note,Chat 2,
8,0,0,He sees it also contrary to personalize,Speaker 1,Observation Note,Chat 2,
8,0,0,Prefer highly personalized scenario or generic one:,Speaker 1,Observation Note,Chat 2,
8,0,0,Everyday would be more important but it would nice to have both,Speaker 1,Observation Note,Chat 2,
8,0,0,"Depends on motivation: If you are a tourist, you maybe want to know the basic scenario but if your partner is Spanish, you would like to discuss complex personal topics",Speaker 1,Observation Note,Chat 2,
8,0,0,"Three different types: Tourist, Personal/Immigration, Career/Job",Speaker 1,Observation Note,Chat 2,
8,0,0,Pricing:,Speaker 1,Observation Note,Chat 2,
8,0,0,If its lesson + convo: 20€ a month,Speaker 1,Observation Note,Chat 2,
8,0,0,"Too much: 30-35€, if it would be perfect also 50€ max.",Speaker 1,Observation Note,Chat 2,
8,0,0,Too cheap: 5-7€,Speaker 1,Observation Note,Chat 2,
9,0,0,Mentions it’s a good question to ask the language goal,Speaker 1,Observation Note,Onboarding,
9,0,0,Nice,Speaker 1,Observation Note,Onboarding,Partner Customization
9,0,0,Recreates me (the author),Speaker 1,Observation Note,Onboarding,Partner Customization
9,0,0,"Uses a very unknown browser  Reconnection issue, only use text",Speaker 1,Observation Note,Warmup,
9,0,0,Completely misunderstood user input,Speaker 1,Observation Note,Warmup,
9,0,0,Tries to check off the boxes when he noticed that its not working,Speaker 1,Observation Note,Warmup,
9,0,0,Now switched to text input and it works,Speaker 1,Observation Note,Warmup,
9,0,0,Would be nice to have a scrollable chat history,Speaker 1,Observation Note,Warmup,
9,0,0,Really likes it,Speaker 1,Observation Note,Warmup,Summary
9,0,0,8 Words learns  Vocabulary,Speaker 1,Observation Note,Warmup,Summary
9,0,0,Also likes that he can see his mistakes,Speaker 1,Observation Note,Warmup,Summary
9,0,0,Likes that he remembers his mistakes,Speaker 1,Observation Note,Warmup,Summary
9,0,0,Mentions that there is not break between ordering the food and rating the food  Finds it funny,Speaker 1,Observation Note,Chat 1,
9,0,0,Looks up a word he didn’t know in the Google translator,Speaker 1,Observation Note,Chat 1,Summary
9,0,0,"Mentions that he speaks chilenian Spanish and he didn’t know a few words, because it was Spanish Spanish",Speaker 1,Observation Note,Chat 1,Questionnaire
9,0,0,Mentions that it’s a lot of questions,Speaker 1,Observation Note,Chat 1,Questionnaire
9,0,0,Made a wrong correction about an accent,Speaker 1,Observation Note,Chat 2,
9,0,0,Would be nice to have a distinction between the feedback and the partner response,Speaker 1,Observation Note,Chat 2,
9,0,0,Response takes a lot of time,Speaker 1,Observation Note,Chat 2,
9,0,0,Again a wrong correction,Speaker 1,Observation Note,Chat 2,
9,0,0,Again reconnection error  His internet connection,Speaker 1,Observation Note,Chat 2,
9,0,0,Likes that the vendor knows his name,Speaker 1,Observation Note,Chat 2,
9,0,0,Is really annoying on a accentuation mistake because it got analyzed in the warmup,Speaker 1,Observation Note,Chat 2,
9,0,0,Hallucinates that the user asked a question but it was a normal statement,Speaker 1,Observation Note,Chat 2,
9,0,0,Hallucinates explanations  Made another mistake but suspects that the ai accessed an existing common mistake and explained him that,Speaker 1,Observation Note,Chat 2,
10,0,0,Uses his own name,Speaker 1,Observation Note,Onboarding completely buggy  Browser issue in Chrome,Partner
10,0,0,Tries to click the tasks,Speaker 1,Observation Note,Warmup,
10,0,0,Likes the tutor explanation,Speaker 1,Observation Note,Warmup,
10,0,0,Is a beginner and tends to use the tutor a lot,Speaker 1,Observation Note,Warmup,
10,0,0,"Likes that the partner gave a direct explanation regarding the age, he didn’t make a mistake but the partner still gave some additional info on the linguistic logic",Speaker 1,Observation Note,Warmup,
10,0,0,Flow  Ask tutor  Responds to partner,Speaker 1,Observation Note,Warmup,
10,0,0,"In the first moment: Was overwhelmed but positively, felt like it was a real human that adapted to him",Speaker 1,Observation Note,Warmup,
10,0,0,Really nice that he react to his messages and also gives feedback,Speaker 1,Observation Note,Warmup,
10,0,0,"Found the help function really useful, because you could continue the app when you are stuck (QUOTE)",Speaker 1,Observation Note,Warmup,
10,0,0,Oversees the other tabs,Speaker 1,Observation Note,Warmup,Summary
10,0,0,Asked the tutor and the tutor responded how to say it in German,Speaker 1,Observation Note,Chat 1,
10,0,0,"Transcribed his message wrong  Misunderstood him, then the conversation continue but the task was not updated correctly",Speaker 1,Observation Note,Chat 1,
10,0,0,Uses very brief answers,Speaker 1,Observation Note,Chat 1,
10,0,0,"Notices that he didn’t do one task, then after conversations ends naturally, tries to redo it",Speaker 1,Observation Note,Chat 1,
10,0,0,Same flow as Chat 1,Speaker 1,Observation Note,Chat 2,
10,0,0,"Did not solve all tasks on first try, then also goes to tutor mode to ask and solves them",Speaker 1,Observation Note,Chat 2,
11,0,0,Ideas:,Speaker 1,Observation Note,Pre-Phase / General,
11,0,0,"Check how the conversation is influenced by the user responses, especially the first one",Speaker 1,Observation Note,Pre-Phase / General,
11,0,0,Confusion what is meant with other languages  Only mother tongue or fluent level or everything,Speaker 1,Observation Note,Onboarding,
11,0,0,Doesn’t know how to name the partner and skips it first to do the visual selection,Speaker 1,Observation Note,Onboarding,Partner
11,0,0,Happy face because he wants to be happy as well,Speaker 1,Observation Note,Onboarding,Partner
11,0,0,Can’t think of a good name,Speaker 1,Observation Note,Onboarding,Partner
11,0,0,Names her LatinaBuddy,Speaker 1,Observation Note,Onboarding,Partner
11,0,0,Starts recording but user is not prepared  Expected that he can enable permission and then restart,Speaker 1,Observation Note,Warmup,
11,0,0,Get an explanation,Speaker 1,Observation Note,Warmup,
11,0,0,Very cool,Speaker 1,Observation Note,Warmup,
11,0,0,Tasks are good,Speaker 1,Observation Note,Warmup,
11,0,0,Maybe the tasks could be distracting/interrupt the dialog flow,Speaker 1,Observation Note,Warmup,
11,0,0,Would be better to see all tasks and can do them more freely,Speaker 1,Observation Note,Warmup,
11,0,0,Really likes the correction/explanation,Speaker 1,Observation Note,Warmup,
11,0,0,But can also be distracting but he liked it,Speaker 1,Observation Note,Warmup,
